iter	Logloss
307	0.2869456801
308	0.2868923452
309	0.2868592734
310	0.2867819041
311	0.286691068
312	0.2866505111
313	0.286611426
314	0.2865015615
315	0.2864688728
316	0.2864142626
317	0.2863635947
318	0.2863189111
319	0.2862790008
320	0.2861491946
321	0.2861050185
322	0.2860475673
323	0.2859265855
324	0.2858541961
325	0.2858063073
326	0.2857549151
327	0.2856755027
328	0.2855674474
329	0.2855190247
330	0.2854393229
331	0.2852385899
332	0.2851648301
333	0.2851327434
334	0.2851023006
335	0.2850363063
336	0.2849894124
337	0.2849519828
338	0.2849010913
339	0.284815252
340	0.284768479
341	0.2847335305
342	0.2847013373
343	0.2845018816
344	0.2844636617
345	0.2843936151
346	0.2843571942
347	0.2843022159
348	0.2842611172
349	0.2842146455
350	0.2841501967
351	0.284113182
352	0.2840688455
353	0.2840291661
354	0.283995039
355	0.2839570211
356	0.2839052009
357	0.2838677003
358	0.2838379891
359	0.2837757964
360	0.2837374902
361	0.2835501914
362	0.2834478114
363	0.2833771419
364	0.283247504
365	0.2831529756
366	0.2829634989
367	0.2829138334
368	0.2828844949
369	0.2827909069
370	0.2827627221
371	0.2827232335
372	0.2826935596
373	0.2826312803
374	0.2825622239
375	0.2825064469
376	0.2824827551
377	0.2824511944
378	0.2823650061
379	0.2823301537
380	0.2823017005
381	0.2822615508
382	0.2822038153
383	0.2821643963
384	0.2821350437
385	0.2820757038
386	0.2820445928
387	0.2819787971
388	0.2819542062
389	0.2819150356
390	0.2817866986
391	0.2817311078
392	0.2817040363
393	0.2816679108
394	0.2816096797
395	0.2815766708
396	0.2815531746
397	0.2815238068
398	0.2815005437
399	0.2814322618
400	0.2813887913
401	0.2813532605
402	0.2813135051
403	0.2812381579
404	0.2811961022
405	0.2811614167
406	0.2810701524
407	0.2810170185
408	0.2809592217
409	0.2809304362
410	0.28090208
411	0.2808733755
412	0.2808099212
413	0.2807748791
414	0.2807193282
415	0.2806928595
416	0.2806438127
417	0.2805957144
418	0.2805729765
419	0.2805319259
420	0.2805267636
421	0.2804999311
422	0.2804635386
423	0.2804130818
424	0.2803868152
425	0.2802581739
426	0.2801891255
427	0.2801572845
428	0.2801197736
429	0.2800738612
430	0.2800413378
431	0.2799888919
432	0.2799595195
433	0.2797846856
434	0.2797138754
435	0.2796929375
436	0.2796442103
437	0.2794980918
438	0.2794732593
439	0.2794286915
440	0.2793495662
441	0.2792835058
442	0.2792801787
443	0.2792517283
444	0.2792167307
445	0.2791815237
446	0.2791149209
447	0.2790663831
448	0.279036922
449	0.2790201516
450	0.2789707735
451	0.278948325
452	0.2789007589
453	0.2788375457
454	0.2787997515
455	0.2787729935
456	0.2787208426
457	0.2786679603
458	0.278614785
459	0.2785636405
460	0.2785427206
461	0.2785092671
462	0.2784746648
463	0.2784357908
464	0.2784106974
465	0.2783835152
466	0.2783627207
467	0.2783038396
468	0.2782744371
469	0.2782391977
470	0.2781908679
471	0.2781724937
472	0.2781533858
473	0.2781210415
474	0.2780897727
475	0.2780625461
476	0.2780197074
477	0.2779851357
478	0.2779548967
479	0.2777995201
480	0.27777456
481	0.2777191271
482	0.2776919549
483	0.27763917
484	0.2776253126
485	0.2775172914
486	0.277496977
487	0.2774767944
488	0.2774125272
489	0.2773393292
490	0.2772953169
491	0.2772569923
492	0.2772015361
493	0.2771827978
494	0.2771582098
495	0.2771272229
496	0.2770896557
497	0.277029444
498	0.2769963703
499	0.2769612626
500	0.2769413821
501	0.276904603
502	0.2768703356
503	0.2768224595
504	0.2767814654
505	0.2767508068
506	0.276719624
507	0.2767012913
508	0.2766669976
509	0.2766351047
510	0.2766030021
511	0.2765629715
512	0.2765375394
513	0.2764005705
514	0.2763697426
515	0.2763505622
516	0.276314997
517	0.2762850204
518	0.2762626133
519	0.2761695578
520	0.2761312535
521	0.2760995493
522	0.2760655408
523	0.2760347106
524	0.2759977485
525	0.2759487634
526	0.275907829
527	0.2758613318
528	0.275827768
529	0.2758102272
530	0.2757681283
531	0.2757507702
532	0.2757192347
533	0.2756759839
534	0.2756454575
535	0.2756039107
536	0.2755833193
537	0.2755581721
538	0.2755337885
539	0.2755024491
540	0.2754704344
541	0.2754546143
542	0.2753915949
543	0.2752708873
544	0.2752478234
545	0.2752118431
546	0.2751853976
547	0.2751541592
548	0.2751258129
549	0.2751068526
550	0.2750872258
551	0.2750596724
552	0.2750428491
553	0.2749904043
554	0.2749582054
555	0.2749305222
556	0.2749021739
557	0.2748681425
558	0.2748213204
559	0.2747286352
560	0.2747083132
561	0.2746558069
562	0.2746417569
563	0.274630794
564	0.2746061708
565	0.2745827857
566	0.2745526725
567	0.2745178217
568	0.2744998829
569	0.2744524735
570	0.2744179197
571	0.2743912253
572	0.2742458777
573	0.2742089141
574	0.2741936749
575	0.2741595241
576	0.2741423461
577	0.274095603
578	0.2740699363
579	0.2740254576
580	0.273986794
581	0.2739575881
582	0.2739232827
583	0.2738984299
584	0.2738631656
585	0.2738358701
586	0.2738103566
587	0.2737812384
588	0.2737367948
589	0.2737068388
590	0.2736576379
591	0.2736293074
592	0.2735868092
593	0.2735719064
594	0.2734437901
595	0.2734198478
596	0.273391305
597	0.273385141
598	0.2733474897
599	0.2733137936
600	0.2732917891
601	0.2732646782
602	0.2732504783
603	0.273222643
604	0.2731960103
605	0.2731654865
606	0.2731337783
607	0.2731086133
608	0.2730901336
609	0.2730651858
610	0.2729796304
611	0.2729528122
612	0.2729228159
613	0.272902703
614	0.2728940783
615	0.2728701601
616	0.2728422681
617	0.2728116949
618	0.272770023
619	0.2727489207
620	0.2727356539
621	0.2727294293
622	0.2726927439
623	0.2726636104
624	0.2726558336
625	0.272619637
626	0.2725889252
627	0.2725539424
628	0.2725170573
629	0.2724928382
630	0.2724766905
631	0.2724396093
632	0.272408253
633	0.2723795042
634	0.2723512982
635	0.2723400051
636	0.272314092
637	0.2723087721
638	0.2722819468
639	0.272256069
640	0.2722270608
641	0.2721994876
642	0.2721614891
643	0.2721213553
644	0.2721012657
645	0.272077127
646	0.2720636232
647	0.2720286843
648	0.2719907141
649	0.2719634051
650	0.2719383757
651	0.2719052592
652	0.271877345
653	0.2718490434
654	0.2718176594
655	0.2717865868
656	0.2717633793
657	0.2717360532
658	0.2717025454
659	0.271677433
660	0.2716581701
661	0.271633045
662	0.2714878077
663	0.2714788202
664	0.2714663992
665	0.2714435963
666	0.2714151267
667	0.271380856
668	0.2712825583
669	0.2712471927
670	0.2712297689
671	0.27114997
672	0.2711245061
673	0.2709911167
674	0.2709676994
675	0.2709613022
676	0.270939097
677	0.2708958931
678	0.270865694
679	0.2708331906
680	0.2708087071
681	0.2707721853
682	0.2707523716
683	0.2707271109
684	0.2707036883
685	0.2706535739
686	0.2706270776
687	0.2705922261
688	0.2705551695
689	0.2705496706
690	0.270507769
691	0.2704841875
692	0.270459679
693	0.2703557795
694	0.27033564
695	0.2703296475
696	0.2703139467
697	0.2702861735
698	0.270257102
699	0.2702310372
700	0.2702017588
701	0.2701946145
702	0.270172374
703	0.2701446917
704	0.2701233253
705	0.2701010443
706	0.2700736678
707	0.2700484303
708	0.2700366451
709	0.2700199336
710	0.2700001457
711	0.2699840938
712	0.2699631989
713	0.2699378613
714	0.2699163499
715	0.2698897534
716	0.2698519387
717	0.2698312208
718	0.2697935395
719	0.2697704134
720	0.269741453
721	0.2697302163
722	0.269707281
723	0.2696832202
724	0.2696713596
725	0.2696411934
726	0.2696037077
727	0.2695658144
728	0.2695360758
729	0.2694925516
730	0.2694727005
731	0.2694443113
732	0.2694224027
733	0.2693717502
734	0.2693570694
735	0.2693286387
736	0.269320066
737	0.2692968749
738	0.2692768591
739	0.2692566963
740	0.2692492246
741	0.2692295791
742	0.269211149
743	0.2691750026
744	0.2691545122
745	0.2691286972
746	0.2691098321
747	0.2690874882
748	0.2690478205
749	0.2690095861
750	0.2689760896
751	0.2688784335
752	0.2688515555
753	0.268836719
754	0.2688147578
755	0.2687964815
756	0.2687828363
757	0.2687584043
758	0.2687371686
759	0.2687087897
760	0.2685919922
761	0.2685641479
762	0.2685393798
763	0.2685207177
764	0.268497477
765	0.2684777106
766	0.2684520788
767	0.2684265796
768	0.2684123934
769	0.2683881254
770	0.2683697168
771	0.2683518106
772	0.2683151665
773	0.2682900524
774	0.268256405
775	0.2682491897
776	0.268160008
777	0.2681369492
778	0.268049115
779	0.2680423011
780	0.2680030806
781	0.2679903889
782	0.2679216688
783	0.2678879006
784	0.2678711794
785	0.2678529712
786	0.2678339736
787	0.267809837
788	0.267789594
789	0.2677756733
790	0.2677600234
791	0.2677453513
792	0.2677216625
793	0.2677043861
794	0.2676784041
795	0.2676526558
796	0.2676308882
797	0.2676059515
798	0.2675845613
799	0.2675605944
800	0.267546744
801	0.2675387006
802	0.2675175428
803	0.2674856833
804	0.2674842793
805	0.2674524196
806	0.26744636
807	0.2674243292
808	0.2673704312
809	0.2673473495
810	0.2673257115
811	0.2672962609
812	0.2672858329
813	0.2672715825
814	0.2672495893
815	0.2672291971
816	0.2672053944
817	0.2671878147
818	0.2671868625
819	0.2671675306
820	0.2670899233
821	0.2670646792
822	0.2670546803
823	0.2670323367
824	0.267008119
825	0.2669912156
826	0.2669595053
827	0.2669399946
828	0.2669337485
829	0.2669126709
830	0.2669103087
831	0.2668894971
832	0.2668573115
833	0.2668309312
834	0.2668240138
835	0.2668055351
836	0.2667843789
837	0.2667646811
838	0.2667523372
839	0.2667371704
840	0.2667064751
841	0.2666839987
842	0.2666658123
843	0.2666472038
844	0.2666250731
845	0.2666009443
846	0.2665877422
847	0.2665806773
848	0.2665595563
849	0.2665455497
850	0.2665250906
851	0.2664977508
852	0.2664771283
853	0.2664494812
854	0.2664273752
855	0.2663789526
856	0.2663584922
857	0.2663374907
858	0.266321795
859	0.2663064443
860	0.2662736849
861	0.2662394222
862	0.2662168768
863	0.2662156393
864	0.2662010571
865	0.2661308404
866	0.2660989172
867	0.2660789531
868	0.2660599809
869	0.2660442084
870	0.2660205656
871	0.2659994474
872	0.2659809468
873	0.2659581306
874	0.2659350329
875	0.2659132273
876	0.2658946373
877	0.2658882393
878	0.2658679892
879	0.2658499172
880	0.2658308854
881	0.2658157308
882	0.2657923045
883	0.265767961
884	0.2657363222
885	0.2657207951
886	0.2657001987
887	0.2656782915
888	0.2656533296
889	0.2656406321
890	0.265632298
891	0.2656151639
892	0.2655977517
893	0.2655729846
894	0.2655435718
895	0.2655175468
896	0.2655005495
897	0.2654888889
898	0.2654638863
899	0.265400558
900	0.2653831218
901	0.2653682965
902	0.2653405964
903	0.2653229061
904	0.2653144329
905	0.2652942583
906	0.2652759088
907	0.2652548248
908	0.26522109
909	0.2651897585
910	0.2651632949
911	0.2651362426
912	0.2651053874
913	0.2650967902
914	0.2650723042
915	0.265056286
916	0.2650376154
917	0.2650256613
918	0.2649256545
919	0.264907025
920	0.2648801663
921	0.2648234011
922	0.2648184149
923	0.2648027238
924	0.2647445507
925	0.2646912741
926	0.2646793616
927	0.264658645
928	0.2646337859
929	0.2646206032
930	0.2645967668
931	0.2645864662
932	0.264569699
933	0.2645597279
934	0.264544617
935	0.2645255563
936	0.2644449507
937	0.2644239627
938	0.2644121287
939	0.2643958965
940	0.2643676437
941	0.2643469618
942	0.264319184
943	0.2643063735
944	0.264290423
945	0.2642623799
946	0.2642464647
947	0.2642242325
948	0.2642166813
949	0.2641890458
950	0.2641325818
951	0.2641086124
952	0.2641020226
953	0.2640815568
954	0.2640542686
955	0.2640354979
956	0.2640212264
957	0.2640025142
958	0.2639906295
959	0.2639675879
960	0.2639463687
961	0.2639215366
962	0.2639137093
963	0.2638986698
964	0.2638632807
965	0.2638409082
966	0.2638289317
967	0.2638115249
968	0.2637859622
969	0.2637730401
970	0.2637075047
971	0.2636891557
972	0.2636672188
973	0.2636457818
974	0.2636258145
975	0.2636075488
976	0.263601026
977	0.2635812082
978	0.2635597807
979	0.263543063
980	0.2635250662
981	0.2635058061
982	0.2634798885
983	0.2634662123
984	0.2634371483
985	0.2634245062
986	0.2634094946
987	0.263404369
988	0.2633889962
989	0.2633749518
990	0.2633744218
991	0.2633592642
992	0.2633468335
993	0.2633286297
994	0.263309482
995	0.2632737001
996	0.2632568533
997	0.2632374235
998	0.2631877295
999	0.263172209
