iter	Passed	Remaining
409	4023	5790
410	4037	5785
411	4047	5777
412	4056	5765
413	4066	5756
414	4075	5745
415	4085	5735
416	4095	5725
417	4103	5713
418	4112	5703
419	4146	5726
420	4163	5725
421	4196	5748
422	4219	5755
423	4240	5760
424	4256	5758
425	4274	5759
426	4288	5754
427	4321	5775
428	4343	5781
429	4362	5782
430	4374	5775
431	4384	5764
432	4393	5753
433	4402	5741
434	4412	5730
435	4420	5718
436	4431	5708
437	4440	5697
438	4449	5685
439	4458	5674
440	4466	5662
441	4476	5650
442	4484	5638
443	4493	5627
444	4502	5615
445	4512	5605
446	4522	5594
447	4531	5583
448	4540	5572
449	4550	5561
450	4560	5550
451	4568	5539
452	4589	5541
453	4600	5532
454	4610	5522
455	4619	5511
456	4630	5502
457	4641	5492
458	4649	5480
459	4659	5470
460	4668	5458
461	4680	5450
462	4689	5439
463	4714	5446
464	4725	5437
465	4735	5426
466	4746	5417
467	4756	5406
468	4777	5408
469	4789	5401
470	4800	5391
471	4811	5381
472	4822	5372
473	4832	5362
474	4843	5352
475	4868	5359
476	4879	5350
477	4889	5339
478	4900	5330
479	4911	5321
480	4922	5311
481	4932	5301
482	4943	5291
483	4953	5280
484	4961	5268
485	4972	5258
486	4980	5246
487	4991	5236
488	5000	5224
489	5009	5213
490	5019	5203
491	5027	5191
492	5038	5181
493	5047	5170
494	5059	5161
495	5069	5151
496	5079	5141
497	5091	5131
498	5100	5121
499	5108	5108
500	5118	5098
501	5127	5086
502	5138	5076
503	5147	5065
504	5157	5055
505	5169	5046
506	5179	5036
507	5189	5025
508	5199	5015
509	5207	5003
510	5217	4993
511	5227	4982
512	5251	4985
513	5263	4976
514	5272	4965
515	5281	4954
516	5290	4942
517	5300	4931
518	5309	4920
519	5320	4910
520	5329	4899
521	5339	4889
522	5348	4878
523	5357	4866
524	5368	4856
525	5377	4845
526	5386	4834
527	5395	4823
528	5404	4811
529	5413	4800
530	5422	4789
531	5431	4778
532	5439	4766
533	5449	4755
534	5458	4744
535	5468	4733
536	5477	4722
537	5485	4710
538	5494	4699
539	5504	4688
540	5513	4677
541	5522	4666
542	5532	4656
543	5541	4644
544	5550	4633
545	5559	4623
546	5569	4612
547	5578	4601
548	5587	4590
549	5597	4579
550	5605	4567
551	5616	4558
552	5625	4547
553	5634	4535
554	5643	4524
555	5651	4513
556	5661	4502
557	5670	4491
558	5680	4481
559	5688	4469
560	5698	4459
561	5707	4447
562	5715	4436
563	5725	4425
564	5733	4414
565	5742	4403
566	5751	4392
567	5761	4381
568	5769	4370
569	5779	4360
570	5788	4349
571	5797	4338
572	5806	4327
573	5816	4316
574	5825	4305
575	5833	4294
576	5843	4283
577	5852	4272
578	5861	4262
579	5871	4251
580	5880	4241
581	5890	4230
582	5899	4219
583	5907	4208
584	5916	4197
585	5926	4186
586	5935	4175
587	5959	4175
588	5968	4165
589	5979	4155
590	5988	4144
591	5998	4133
592	6006	4122
593	6015	4111
594	6024	4100
595	6032	4089
596	6042	4078
597	6051	4068
598	6062	4058
599	6071	4047
600	6079	4036
601	6088	4025
